Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Action
53977.0,22266.0,,22266.0,492.0,306.0,186.0,,17.0,5.0,3.0,allow
50148.0,80.0,57004.0,80.0,9058.0,868.0,8190.0,18.0,46.0,,8.0,allow
,42671.0,48767.0,42671.0,70.0,70.0,0.0,2.0,8.0,2.0,0.0,allow
52181.0,443.0,64436.0,443.0,7855.0,815.0,7040.0,21.0,15.0,9.0,12.0,allow
65004.0,53.0,23515.0,53.0,323.0,94.0,,2.0,30.0,1.0,1.0,allow
46265.0,443.0,19534.0,443.0,173828.0,9311.0,164517.0,,448.0,118.0,127.0,allow
49158.0,,27828.0,443.0,,4227.0,10263.0,35.0,36.0,19.0,16.0,allow
33067.0,53.0,47200.0,,168.0,78.0,90.0,2.0,30.0,1.0,1.0,allow
56911.0,53.0,39355.0,53.0,177.0,,83.0,2.0,30.0,1.0,1.0,allow
22767.0,53.0,,53.0,226.0,106.0,120.0,,30.0,1.0,1.0,allow
52715.0,443.0,38027.0,443.0,164840.0,,158865.0,179.0,122.0,61.0,118.0,allow
,80.0,39303.0,80.0,424.0,210.0,214.0,7.0,27.0,4.0,,allow
61442.0,443.0,19223.0,443.0,,1891.0,1512.0,24.0,42.0,,11.0,allow
9446.0,443.0,,443.0,8672.0,1863.0,6809.0,22.0,46.0,11.0,11.0,allow
52194.0,443.0,38386.0,443.0,,1090.0,11284.0,27.0,15.0,13.0,14.0,allow
58306.0,443.0,59387.0,443.0,864.0,436.0,428.0,,29.0,,6.0,allow
42412.0,443.0,55628.0,443.0,204.0,70.0,134.0,4.0,26.0,2.0,2.0,allow
56710.0,53.0,52813.0,53.0,177.0,94.0,83.0,2.0,30.0,1.0,1.0,allow
,443.0,45721.0,443.0,550484.0,8433.0,542051.0,,246.0,99.0,,allow
61273.0,443.0,55960.0,443.0,,8597.0,11078.0,137.0,,68.0,69.0,allow
50016.0,53.0,14072.0,53.0,766.0,103.0,663.0,4.0,41.0,2.0,2.0,allow
58307.0,443.0,36806.0,443.0,934.0,506.0,428.0,,29.0,8.0,6.0,allow
,53.0,36739.0,,293.0,94.0,199.0,2.0,30.0,1.0,1.0,allow
56911.0,53.0,31733.0,53.0,177.0,94.0,83.0,2.0,,1.0,1.0,allow
41631.0,443.0,38429.0,,20180.0,2917.0,17263.0,35.0,124.0,14.0,21.0,allow
38637.0,443.0,8499.0,443.0,12339.0,2392.0,,36.0,287.0,15.0,,allow
45317.0,53.0,22055.0,53.0,86.0,86.0,0.0,,30.0,,0.0,allow
56704.0,,,53.0,,94.0,224.0,2.0,30.0,1.0,1.0,allow
49410.0,53.0,62890.0,,177.0,94.0,83.0,2.0,30.0,,1.0,allow
56504.0,53.0,45710.0,53.0,,102.0,,,30.0,1.0,0.0,allow
50003.0,443.0,32664.0,443.0,13812.0,3042.0,10770.0,29.0,16.0,15.0,14.0,allow
40737.0,,35009.0,443.0,44004.0,3909.0,40095.0,80.0,135.0,38.0,42.0,allow
38082.0,443.0,14308.0,443.0,284.0,164.0,120.0,4.0,15.0,2.0,2.0,allow
36036.0,443.0,,443.0,261234.0,,,326.0,212.0,153.0,173.0,allow
55476.0,53.0,58894.0,53.0,232.0,,122.0,2.0,30.0,1.0,1.0,allow
49395.0,53.0,,53.0,390.0,111.0,279.0,4.0,53.0,2.0,2.0,allow
56172.0,53.0,35826.0,53.0,253.0,87.0,166.0,4.0,30.0,2.0,2.0,allow
56624.0,53.0,36589.0,53.0,177.0,94.0,83.0,2.0,31.0,1.0,1.0,allow
57470.0,20220.0,32069.0,20220.0,870.0,330.0,540.0,12.0,2308.0,6.0,6.0,allow
33856.0,443.0,15413.0,443.0,8171028.0,105740.0,8065288.0,6637.0,149.0,745.0,5892.0,allow
59983.0,443.0,,443.0,296863.0,14073.0,282790.0,351.0,,130.0,221.0,allow
15503.0,63425.0,41497.0,63425.0,481.0,150.0,331.0,2.0,1200.0,1.0,,allow
53987.0,16571.0,20059.0,16571.0,70.0,70.0,0.0,1.0,5.0,1.0,0.0,allow
53986.0,54070.0,39036.0,54070.0,70.0,70.0,0.0,1.0,5.0,1.0,0.0,allow
64094.0,1024.0,62040.0,1024.0,70.0,70.0,0.0,,5.0,1.0,,allow
64095.0,,59706.0,1976.0,70.0,,0.0,1.0,,1.0,0.0,allow
52126.0,443.0,21159.0,443.0,1672.0,1149.0,523.0,,37.0,8.0,5.0,allow
52144.0,80.0,16896.0,80.0,366.0,240.0,126.0,7.0,33.0,5.0,2.0,allow
50816.0,443.0,50681.0,443.0,134.0,60.0,74.0,3.0,6.0,2.0,1.0,allow
50057.0,80.0,26007.0,80.0,1570.0,754.0,816.0,10.0,16.0,6.0,4.0,allow
,80.0,44068.0,80.0,366.0,240.0,126.0,7.0,33.0,5.0,,allow
54139.0,53.0,64934.0,53.0,168.0,78.0,90.0,2.0,,,1.0,allow
49410.0,53.0,29049.0,53.0,177.0,94.0,83.0,2.0,31.0,1.0,1.0,allow
53994.0,16605.0,,16605.0,,70.0,0.0,2.0,8.0,2.0,0.0,allow
35242.0,8635.0,35242.0,8635.0,138.0,78.0,,2.0,6.0,1.0,1.0,allow
52148.0,80.0,27900.0,,366.0,240.0,126.0,7.0,33.0,5.0,2.0,allow
49900.0,443.0,28761.0,443.0,1820.0,1101.0,719.0,18.0,73.0,10.0,8.0,allow
43931.0,53.0,36161.0,53.0,168.0,78.0,90.0,2.0,31.0,1.0,1.0,allow
51048.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
51045.0,445.0,0.0,0.0,70.0,,0.0,1.0,0.0,1.0,0.0,drop
13394.0,23.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,1.0,0.0,deny
61078.0,57470.0,,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
55725.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,,0.0,drop
55723.0,445.0,0.0,0.0,70.0,,0.0,1.0,,1.0,0.0,drop
55724.0,,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
51125.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
51123.0,445.0,0.0,0.0,66.0,66.0,0.0,,,1.0,0.0,drop
,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
51121.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
51126.0,445.0,,0.0,66.0,66.0,,1.0,0.0,1.0,0.0,drop
51124.0,445.0,,0.0,66.0,66.0,0.0,,0.0,,,drop
51120.0,,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
51119.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
62776.0,62413.0,,0.0,146.0,146.0,0.0,1.0,0.0,1.0,0.0,deny
51041.0,445.0,,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
46448.0,30170.0,0.0,0.0,159.0,159.0,0.0,1.0,0.0,1.0,0.0,deny
10688.0,25174.0,0.0,0.0,,146.0,,1.0,0.0,1.0,0.0,deny
34086.0,25174.0,0.0,,62.0,62.0,0.0,1.0,0.0,,0.0,deny
64605.0,25174.0,,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
,445.0,0.0,0.0,70.0,70.0,0.0,1.0,,1.0,0.0,drop
56688.0,25174.0,0.0,,62.0,62.0,0.0,,0.0,1.0,0.0,deny
57015.0,42707.0,0.0,0.0,62.0,,,1.0,0.0,1.0,0.0,deny
41213.0,25174.0,0.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
57131.0,8055.0,0.0,0.0,145.0,,0.0,1.0,0.0,1.0,,deny
45855.0,25174.0,0.0,0.0,62.0,,0.0,1.0,0.0,1.0,0.0,deny
54483.0,,0.0,0.0,66.0,66.0,0.0,1.0,,1.0,0.0,deny
45855.0,25174.0,0.0,0.0,146.0,,0.0,1.0,0.0,1.0,0.0,deny
49990.0,62413.0,0.0,0.0,,66.0,0.0,1.0,0.0,1.0,0.0,deny
1582.0,56205.0,0.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
65003.0,57470.0,0.0,,78.0,78.0,0.0,1.0,,1.0,,deny
,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
55717.0,445.0,0.0,0.0,,70.0,0.0,1.0,0.0,,0.0,drop
55713.0,445.0,0.0,0.0,70.0,,0.0,1.0,0.0,1.0,0.0,drop
55708.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
63486.0,51505.0,0.0,0.0,66.0,66.0,0.0,1.0,,1.0,0.0,deny
54100.0,37965.0,0.0,0.0,62.0,,0.0,1.0,0.0,,0.0,deny
51034.0,445.0,0.0,0.0,70.0,70.0,,1.0,0.0,1.0,0.0,drop
51107.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
,445.0,,0.0,66.0,66.0,,1.0,0.0,1.0,0.0,drop
,22114.0,0.0,0.0,66.0,66.0,0.0,,,1.0,0.0,deny
443.0,47582.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,,,deny
443.0,47582.0,0.0,0.0,85.0,85.0,0.0,1.0,0.0,1.0,0.0,deny
443.0,47582.0,0.0,0.0,100.0,100.0,0.0,1.0,0.0,1.0,0.0,deny
59126.0,57470.0,0.0,,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
27621.0,50584.0,0.0,,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
52266.0,50038.0,0.0,,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
56456.0,1433.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,1.0,0.0,deny
43537.0,2323.0,,0.0,60.0,60.0,0.0,1.0,0.0,1.0,0.0,deny
40772.0,15503.0,0.0,0.0,74.0,,0.0,1.0,0.0,1.0,,deny
50594.0,25174.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
4323.0,64147.0,,,62.0,62.0,0.0,1.0,0.0,1.0,,deny
55703.0,445.0,0.0,,70.0,70.0,0.0,1.0,,1.0,0.0,drop
55701.0,445.0,,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
55696.0,445.0,0.0,0.0,70.0,70.0,,1.0,0.0,1.0,0.0,drop
55698.0,445.0,,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
34349.0,25174.0,0.0,0.0,,146.0,0.0,1.0,0.0,1.0,0.0,deny
,,0.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
,25174.0,0.0,0.0,62.0,62.0,0.0,1.0,,1.0,0.0,deny
49529.0,21247.0,0.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
64579.0,,0.0,0.0,66.0,,0.0,1.0,0.0,1.0,0.0,deny
51021.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
53771.0,57470.0,0.0,0.0,66.0,,0.0,1.0,0.0,1.0,0.0,deny
15701.0,37965.0,0.0,,,146.0,0.0,1.0,0.0,1.0,0.0,deny
4529.0,,0.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
45060.0,37965.0,,0.0,,62.0,0.0,1.0,0.0,1.0,0.0,deny
32554.0,34729.0,0.0,0.0,62.0,,0.0,1.0,,1.0,,deny
51018.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
47913.0,25174.0,0.0,0.0,146.0,146.0,0.0,1.0,0.0,1.0,0.0,deny
55686.0,445.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,drop
55683.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
55679.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,,drop
2206.0,25174.0,0.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
,62413.0,0.0,,62.0,62.0,0.0,,0.0,1.0,0.0,deny
17244.0,22114.0,0.0,0.0,62.0,62.0,,1.0,0.0,1.0,0.0,deny
51095.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,,drop
51014.0,445.0,0.0,0.0,,70.0,0.0,1.0,0.0,1.0,0.0,drop
58925.0,25174.0,,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
32549.0,37807.0,0.0,0.0,146.0,146.0,0.0,1.0,,1.0,,deny
51012.0,445.0,,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
52838.0,37965.0,0.0,0.0,,66.0,0.0,1.0,0.0,1.0,0.0,deny
34217.0,23.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,1.0,0.0,deny
52459.0,33890.0,0.0,0.0,60.0,60.0,,1.0,0.0,1.0,0.0,deny
51010.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,,drop
,445.0,0.0,0.0,,70.0,0.0,1.0,0.0,,0.0,drop
,3389.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,1.0,,deny
1024.0,21854.0,0.0,0.0,157.0,157.0,0.0,1.0,0.0,1.0,0.0,reset-both
55677.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,,1.0,0.0,drop
25533.0,22114.0,,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
47132.0,1433.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,1.0,,deny
56119.0,37965.0,0.0,,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
51080.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
51076.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
51003.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
54502.0,34729.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,,0.0,deny
,30317.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
53712.0,25174.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
51001.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
33726.0,44847.0,0.0,,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
22568.0,37965.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
443.0,49988.0,0.0,0.0,82.0,82.0,,1.0,0.0,1.0,0.0,deny
55667.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
55665.0,445.0,0.0,0.0,70.0,,0.0,,0.0,1.0,,drop
55660.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,,drop
55658.0,445.0,0.0,,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
53985.0,,0.0,0.0,62.0,62.0,0.0,,0.0,1.0,0.0,deny
57613.0,42707.0,,,62.0,62.0,0.0,,0.0,,0.0,deny
6666.0,6001.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,1.0,0.0,deny
45941.0,23386.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,1.0,,deny
51000.0,445.0,0.0,0.0,,70.0,0.0,1.0,0.0,1.0,0.0,drop
51071.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
50999.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
50998.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
55759.0,5900.0,0.0,0.0,60.0,60.0,0.0,1.0,0.0,1.0,0.0,deny
50995.0,445.0,0.0,0.0,,70.0,0.0,1.0,0.0,1.0,0.0,drop
,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
51067.0,445.0,0.0,0.0,66.0,66.0,,1.0,0.0,1.0,0.0,drop
51066.0,445.0,0.0,0.0,,66.0,0.0,1.0,0.0,,,drop
51065.0,445.0,0.0,0.0,,66.0,0.0,1.0,0.0,,,drop
51062.0,445.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
,445.0,0.0,,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop
51063.0,445.0,0.0,0.0,66.0,,0.0,1.0,0.0,1.0,0.0,drop
51059.0,445.0,0.0,0.0,,66.0,0.0,1.0,0.0,1.0,,drop
55651.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
21268.0,62609.0,0.0,,,146.0,0.0,1.0,0.0,1.0,0.0,deny
,62609.0,0.0,0.0,146.0,146.0,0.0,1.0,0.0,1.0,0.0,deny
55648.0,,,0.0,70.0,,0.0,1.0,0.0,1.0,0.0,drop
55646.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
55644.0,,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
50980.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,,1.0,0.0,drop
50979.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
23758.0,,0.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny
50975.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
53324.0,44847.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
50970.0,,0.0,0.0,70.0,70.0,0.0,1.0,0.0,,,drop
50969.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop
53243.0,57470.0,0.0,0.0,,74.0,0.0,1.0,0.0,1.0,0.0,deny
64776.0,25174.0,0.0,0.0,66.0,,0.0,1.0,0.0,,0.0,deny
50547.0,22197.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny
64298.0,50584.0,0.0,0.0,66.0,66.0,,1.0,0.0,,0.0,deny
,36237.0,0.0,0.0,,62.0,0.0,1.0,0.0,1.0,0.0,deny
56816.0,443.0,16188.0,443.0,7956.0,1967.0,5989.0,20.0,15.0,11.0,9.0,allow
52011.0,80.0,26180.0,80.0,23580.0,,13044.0,,39.0,18.0,18.0,allow
50198.0,,50198.0,3389.0,3343.0,1454.0,1889.0,15.0,16.0,,7.0,allow
56624.0,53.0,45708.0,,170.0,87.0,83.0,2.0,30.0,1.0,1.0,allow
56813.0,443.0,32005.0,443.0,8021.0,2001.0,6020.0,20.0,16.0,,9.0,allow
,443.0,2667.0,443.0,10217.0,8266.0,1951.0,33.0,39.0,20.0,13.0,allow
64092.0,14447.0,29856.0,14447.0,66.0,,0.0,1.0,5.0,1.0,0.0,allow
64270.0,443.0,64270.0,443.0,4747.0,1840.0,2907.0,,27.0,11.0,8.0,allow
51163.0,443.0,48007.0,443.0,,2602.0,6864.0,,185.0,20.0,21.0,allow
52469.0,443.0,22069.0,443.0,,14149.0,15747.0,61.0,209.0,35.0,26.0,allow
46898.0,,46898.0,53.0,194.0,87.0,107.0,2.0,30.0,,1.0,allow
53198.0,443.0,53198.0,443.0,4591.0,1684.0,2907.0,19.0,28.0,11.0,8.0,allow
5886.0,80.0,5886.0,80.0,138678.0,5557.0,133121.0,152.0,16.0,58.0,94.0,allow
56815.0,443.0,,443.0,7903.0,1914.0,5989.0,20.0,15.0,11.0,9.0,allow
52270.0,3708.0,,3708.0,316.0,136.0,180.0,6.0,,3.0,3.0,allow
52264.0,43015.0,38341.0,43015.0,70.0,70.0,0.0,,7.0,2.0,0.0,allow
62685.0,443.0,28394.0,443.0,7023.0,2352.0,4671.0,18.0,,10.0,,allow
,443.0,8337.0,443.0,50226.0,4284.0,45942.0,76.0,75.0,31.0,45.0,allow
